"id"	"screenName"	"text"	"retweetCount"
"1621665190084222976"	"OPlaie"	"ALERTE AUX GOGOLES 

On doit être une sacrée flopée de mécréants à Lyon pour mériter tel châtiment. 
Cheyrou c’est… https://t.co/IMQ8YH9X13"	0
"1621647201972756480"	"mehdizak"	"#JmAulas Compare #l’olympique Lyonnais à #Liverpool, je crois rêver, on peut être sérieux une minute et revenir à l… https://t.co/ZOZsWh6lk7"	0
"1621646177715322882"	"ShangoFoot"	"FOOT MERCATO 🔵  #OL : Jeffinho revient sur son départ de Botafogo 👉 https://t.co/6mOH2wGalp https://t.co/At2nX990hi"	0
"1621645256214323201"	"En_fr38"	"Mais Christian là il a sortir le pompe les C4 les CHAR tous #OL il mis aulas devant la réalité enfin https://t.co/wr3c5q0MqR"	0
"1621641358543839239"	"Hannibal_Lyon"	"@Msila28_ Merci Gone, j’pensais pas qu’ils laisseraient la conférence en intégralité en différé. Connaissant les zozos… #OL"	0
"1621640170989621255"	"belqaid_nadir"	"L’@ol se déplace à @estac_officiel demain à 19h, l’essentiel du groupe est bel et bien présent sauf Jeffinho (bless… https://t.co/g4kdqHQMVn"	0
"1621633655658496001"	"IliesHamou"	"900 milliards dépensé sur 700 joueurs au mercato hivernal pour faire 0-0 contre Fulham … LOL
Vivement que le mange… https://t.co/7Vnl9wqjMo"	0
"1621633095932715008"	"pau_emilien"	"RT @madeinfoot: [#OL 🔴🔵]

Jean-Michel Aulas ne s’interdit rien !

https://t.co/dK9xjU8i7a"	1
"1621632318753460224"	"madeinfoot"	"[#OL 🔴🔵]

Jean-Michel Aulas ne s’interdit rien !

https://t.co/dK9xjU8i7a"	1
"1621630714453032961"	"CostaMik"	"RT @CostaMik: Quand je vous dis que @JM_Aulas ne vit pas dans le même monde que nous 🙄… #OL https://t.co/ieayb6Lf4J"	1
"1621629624575721472"	"Ol69Dd"	"RT @oetl: 18 joueurs à la veille de Troyes. Jeffinho soigne toujours une blessure à la cheville #OL #OLESTAC https://t.co/MSUotXGB9Q"	11
"1621628568248745985"	"ShangoFoot"	"FOOT 365 🔵  #OL : La réponse sèche de Jean-Michel Aulas à Molina 👉 https://t.co/BLet5Dsw47 https://t.co/w2jJLnd64c"	0
"1621628216388599809"	"Lacazetiste"	"RT @OL__Plus: #Troyes - #OL  : Corentin #Tolisso est bien du voyage
@CorentinTolisso #ESTACOL 
(O&amp;L : https://t.co/Neb9OOVvQb) https://t.co…"	3
"1621623639576612864"	"JordanPedreiro"	"RT @OL__Plus: #Troyes - #OL  : Corentin #Tolisso est bien du voyage
@CorentinTolisso #ESTACOL 
(O&amp;L : https://t.co/Neb9OOVvQb) https://t.co…"	3
"1621622694692241410"	"OL__Plus"	"#Troyes - #OL  : Corentin #Tolisso est bien du voyage
@CorentinTolisso #ESTACOL 
(O&amp;L : https://t.co/Neb9OOVvQb) https://t.co/AaV5WoGyAA"	3
"1621617246832394247"	"ShangoFoot"	"FOOT MERCATO 🔵  #OL : Jean-Michel Aulas revient sur les négociations pour Malo Gusto 👉 https://t.co/U02KvnNdqB https://t.co/bgScjNEGMf"	0
"1621616273057583106"	"PPrugnaud"	"Et encore un coup pour l'#OL et @JM_Aulas qui 'aura jamais fait de son club, un club populaire avec une vraie assis… https://t.co/9ANlOXLId5"	0
"1621614709555216386"	"Lukebainho"	"RT @OL__Plus: Violences après #OL - #Strasbourg : six ultras devant la justice ce vendredi
#OLRCSA 
(Le Progrès 💶 : https://t.co/DQcGw3Y9nc…"	4
"1621613203162537988"	"elookinder"	"RT @tourcoingcity: Salut, je vends 1 place en virage sud pour OL - RC Lens dimanche 12 février 
@OLTradeBed #OL #RCL #Ligue1UberEats"	2
"1621613028541095937"	"OLTradeBed"	"RT @tourcoingcity: Salut, je vends 1 place en virage sud pour OL - RC Lens dimanche 12 février 
@OLTradeBed #OL #RCL #Ligue1UberEats"	2
"1621612991660564480"	"OLTradeBed"	"RT @JrMaestro19: Vend ma place en VS face à Lens. Venez en MP pour les intéressés. #TeamOL #OL #OLRCL 

@OLTradeBed @MaxOL69"	7
